;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Number of member accounts by member gender;;;;Members' benefits by member gender;;;;Number of member accounts by member age bracket (female);;;;;;;;;;;;Members' benefits by member age bracket (female);;;;;;;;;;;;Number of member accounts by member age bracket (male);;;;;;;;;;;;Members' benefits by member age bracket (male);;;;;;;;;;;
Fund name;RSE Regulatory classification;Fund type;RSE Membership base;Fund's RSE licensee;RSE licensee ownership type;RSE licensee profit status;Total number of member accounts at the end of period;Total members' benefits at end of period;Number of members accounts : female;Number of members accounts : male;Number of members : Intersex or Indeterminate;Number of members : Not stated or inadequately described;Members' benefits : female;Members' benefits : male;Members' benefits : Intersex or Indeterminate;Members' benefits : Not stated or inadequately described;<25;25 to 34;35 to 44;45 to 49;50 to 54;55 to 59;60 to 64;65 to 69;70 to 74;75 to 84;85+;Age not available;<25;25 to 34;35 to 44;45 to 49;50 to 54;55 to 59;60 to 64;65 to 69;70 to 74;75 to 84;85+;Age not available;<25;25 to 34;35 to 44;45 to 49;50 to 54;55 to 59;60 to 64;65 to 69;70 to 74;75 to 84;85+;Age not available;<25;25 to 34;35 to 44;45 to 49;50 to 54;55 to 59;60 to 64;65 to 69;70 to 74;75 to 84;85+;Age not available
;;;;;;;;($'000);;;;;($'000);($'000);($'000);($'000);;;;;;;;;;;;;($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);;;;;;;;;;;;;($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000)
ASGARD Independence Plan Division Two;Public offer;Retail;General base;BT Funds Management Limited;Financial services corporation ownership;For profit status;211940;22934010;*;*;;*;*;12955168;;*;3765;16185;19610;9381;7634;7445;7866;7402;6759;6581;*;*;17073;340327;969381;672162;693178;1017693;1589605;1800165;1560981;1221412;*;*;5062;21627;25816;12616;10658;10260;9894;8114;6763;6818;*;*;27938;498173;1543164;1167147;1261963;1684870;1914487;1876349;1587952;1272354;*;*
Australia Post Superannuation Scheme;Non public offer;Public Sector;Government base;PostSuper Pty Ltd;Other ownership type;Not for profit status;31577;6957400;12727;18850;;0;2293898;4648502;;15000;*;509;1818;1919;2326;2711;1925;994;388;*;*;;*;38249;218607;295761;436167;595997;408789;207735;71397;*;*;;*;684;2328;2443;3267;4051;3236;1725;785;*;*;;*;50659;312270;485713;840295;1228207;968183;495431;194981;*;*;
Australia's Unclaimed Super Fund;Public offer;Retail - ERF;General base;Industry Funds Investments Ltd;Financial services corporation ownership;For profit status;921264;1355184;399532;517313;;4419;585648;766179;;3357;13383;99819;127217;54063;38941;29648;18658;9971;4177;1451;130;2074;14368;118132;170198;96130;76466;57588;29474;14434;5725;1445;209;1479;25693;144868;148868;64437;47342;36629;23585;13477;6196;2668;275;3275;26557;175049;207221;114030;86872;70887;42546;26951;9546;3430;409;2681
Australian Catholic Superannuation and Retirement Fund;Public offer;Industry;Industry base;SCS Super Pty. Limited;Employer sponsor (non-public sector) ownership;Not for profit status;91590;9095139;67979;*;;*;6059560;*;;*;4099;11189;14186;8578;8059;7535;6606;4502;2291;*;*;;16244;334757;802194;627696;760444;993871;1082954;842797;435011;*;*;;2494;3756;3807;2197;2050;2295;2879;2146;1300;*;*;;6832;110015;325318;285465;321229;479142;674237;453906;258693;*;*;
Australian Defence Force Superannuation Scheme;Non public offer;Public Sector;Government base;Commonwealth Superannuation Corporation;Public sector organisation ownership;Not for profit status;15789;281441;*;*;*;;*;206798;*;;2869;1117;218;63;37;*;*;*;;;;;35428;27550;7950;2223;1087;*;*;*;;;;;7497;2789;581;178;149;*;*;*;*;;;;91132;67134;19551;7647;7889;*;*;*;*;;;
Australian Eligible Rollover Fund;Public offer;Retail - ERF;General base;Perpetual Superannuation Limited;Financial services corporation ownership;For profit status;242844;565057;104758;138086;;;213601;351456;;;646;10227;37921;22283;14420;10653;6786;1232;294;244;*;*;696;9275;54806;54803;44526;28187;15939;3200;1425;695;*;*;755;12703;46231;28310;20078;16501;10332;2041;553;503;*;*;923;11436;67553;73665;74643;64295;42076;10703;3379;2674;*;*
Australian Ethical Retail Superannuation Fund;Public offer;Retail;General base;Australian Ethical Superannuation Pty Ltd;Financial services corporation ownership;For profit status;43079;2258333;23880;19161;;38;1130541;1127680;;112;2887;7910;6452;2191;1553;1232;845;492;208;*;*;;10318;180014;330744;148496;120316;126662;94418;76360;27933;*;*;;2071;6263;5205;1935;1286;1005;676;408;214;*;*;;6963;146635;324952;175010;143008;128460;102321;59446;29229;*;*;
Australian Meat Industry Superannuation Trust;Public offer;Industry;Industry base;Australian Meat Industry Superannuation Pty Ltd;Nominating organisation ownership;Not for profit status;69931;2304462;17556;52375;;;456311;1848151;;;2764;5286;3742;1767;1569;1266;741;310;*;*;;*;9380;52692;98444;63423;71608;71708;47840;29634;*;*;;*;9125;16721;11485;5015;3581;2936;1993;972;*;*;*;*;41718;262688;452715;288181;243209;241793;174497;86181;*;*;*;*
AustralianSuper;Public offer;Industry;General base;AustralianSuper Pty Ltd;Nominating organisation ownership;Not for profit status;2155463;166103397;860195;1294863;;405;55509504;110569437;;24456;113640;208203;190674;90900;78896;72238;54916;31725;14115;4624;238;26;577004;5097179;10236144;6754386;6959891;8162402;7954288;5936089;2853213;946435;32421;52;171392;316758;292342;132866;114851;105135;80893;47729;23232;9145;496;24;928099;9189054;20906818;14150770;15073281;17456037;15383552;10148096;5256932;1999403;77317;78
Avanteos Superannuation Trust;Public offer;Retail;General base;Avanteos Investments Limited;Financial services corporation ownership;For profit status;30014;9451989;14414;15600;;;4306635;5145354;;;57;404;1136;915;1029;1465;2468;2654;2128;1950;208;;514;22041;119789;152725;221916;468932;868334;1022999;776919;601465;51001;;95;493;1368;1126;1239;1597;2391;2677;2197;2130;287;;3963;32891;175789;227324;332559;637685;1038076;1114537;839278;670982;72270;
